symbol,base_qty,side,quote_qty,account_name,price,realized_pnl,fee,trade_time,时间,净资产,份额,净值
SOLUSDT,0.1,OpenLong,18,binance-001,180,0,0.00487,1755820401768,2025/8/22 7:53:22,1007.335422,1000,1.007335422
ETHUSDT,0.008,OpenLong,33.8,binance-001,4225,0,0.00913,1755820488979,2025/8/22 7:54:49,1007.326292,1000,1.007326292
SOLUSDT,0.03,CloseLong,5.42,binance-001,181,-0.138,0.00146,1755821110248,2025/8/22 8:05:10,1007.186832,1000,1.007186832
XRPUSDT,0.1,CloseLong,0.285,binance-001,2.85,-0.000956,0.000077,1755821765125,2025/8/22 8:16:05,1007.185799,1000,1.007185799
SOLUSDT,0.1,CloseLong,18.1,binance-001,181,-0.394,0.00489,1755822035872,2025/8/22 8:20:36,1006.786909,1000,1.006786909
SOLUSDT,0.09,CloseLong,16.3,binance-001,181,-0.347,0.00441,1755822663456,2025/8/22 8:31:03,1006.435499,1000,1.006435499
ETHUSDT,0.004,CloseLong,17,binance-001,4251,0.00927,0.00459,1755823291071,2025/8/22 8:41:31,1006.440179,1000,1.006440179
SOLUSDT,0.04,CloseLong,7.26,binance-001,181,-0.152,0.00196,1755823323686,2025/8/22 8:42:04,1006.286219,1000,1.006286219
SOLUSDT,0.04,CloseLong,7.26,binance-001,181,-0.152,0.00196,1755823323686,2025/8/22 8:42:04,1006.132259,1000,1.006132259
SOLUSDT,0.01,CloseLong,1.81,binance-001,181,-0.0379,0.00049,1755823323686,2025/8/22 8:42:04,1006.093869,1000,1.006093869
SOLUSDT,0.03,CloseLong,5.44,binance-001,181,-0.117,0.00147,1755824546136,2025/8/22 9:02:26,1005.975399,1000,1.005975399
SOLUSDT,0.02,CloseLong,3.63,binance-001,181,-0.0782,0.000979,1755824546136,2025/8/22 9:02:26,1005.89622,1000,1.00589622
SOLUSDT,0.09,CloseLong,16.4,binance-001,182,-0.297,0.00442,1755827040857,2025/8/22 9:44:01,1005.5948,1000,1.0055948
ETHUSDT,0.004,CloseLong,17,binance-001,4259,0.0426,0.0046,1755827641402,2025/8/22 9:54:01,1005.6328,1000,1.0056328
SOLUSDT,0.09,CloseLong,16.4,binance-001,182,-0.306,0.00442,1755827674085,2025/8/22 9:54:34,1005.32238,1000,1.00532238
SOLUSDT,0.08,CloseLong,14.6,binance-001,182,-0.235,0.00394,1755828329146,2025/8/22 10:05:29,1005.08344,1000,1.00508344
SOLUSDT,0.17,CloseLong,31.1,binance-001,183,-0.413,0.00839,1755828929505,2025/8/22 10:15:30,1004.66205,1000,1.00466205
XRPUSDT,8,CloseLong,23,binance-001,2.87,0.0923,0.00621,1755828961975,2025/8/22 10:16:02,1004.74814,1000,1.00474814
XRPUSDT,4.1,CloseLong,11.8,binance-001,2.88,0.083,0.00319,1755829507947,2025/8/22 10:25:08,1004.82795,1000,1.00482795
SOLUSDT,0.09,CloseLong,16.5,binance-001,183,-0.19,0.00445,1755829567644,2025/8/22 10:26:08,1004.6335,1000,1.0046335
ETHUSDT,0.012,CloseLong,51.6,binance-001,4299,0.609,0.0139,1755829600135,2025/8/22 10:26:40,1005.2286,1000,1.0052286
SOLUSDT,0.01,CloseLong,1.83,binance-001,183,-0.0218,0.000494,1755832509113,2025/8/22 11:15:09,1005.206306,1000,1.005206306
SOLUSDT,0.03,OpenLong,5.47,binance-001,182,0,0.00148,1755833145220,2025/8/22 11:25:45,1005.204826,1000,1.005204826
SOLUSDT,0.01,CloseLong,1.82,binance-001,182,-0.0345,0.000491,1755833846762,2025/8/22 11:37:27,1005.169835,1000,1.005169835
SOLUSDT,0.01,CloseLong,1.83,binance-001,183,-0.0231,0.000494,1755836569084,2025/8/22 12:22:49,1005.146241,1000,1.005146241
SOLUSDT,0.03,CloseLong,5.48,binance-001,183,-0.0726,0.00148,1755838942111,2025/8/22 13:02:22,1005.072161,1000,1.005072161
SOLUSDT,0.07,CloseLong,12.8,binance-001,183,-0.137,0.00346,1755839569708,2025/8/22 13:12:50,1004.931701,1000,1.004931701
XRPUSDT,8,CloseLong,22.9,binance-001,2.86,-0.0253,0.00618,1755841309927,2025/8/22 13:41:50,1004.900221,1000,1.004900221
